Crash_Condition_ID,Posted_Speed_Limit,Traffic_Control_Device,Traffic_Control_Device_Condition,Weather_Condition,Lighting_Condition,Trafficway_Type,Roadway_Surface_Condition,Road_Defect,Alignment
462,20,RAILROAD CROSSING GATE,MISSING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",PARKING LOT,ICE,NO DEFECTS,CURVE LEVEL
463,35,STOP SIGN,MISSING,RAIN,DARKNESS,ALLEY,WET,SHOULDER DEFECT,CURVE LEVEL
464,25,STOP SIGN,FUNCTIONING PROPERLY,SLEET/HAIL,DUSK,PARKING LOT,WET,NO DEFECTS,CURVE ON GRADE
465,20,YIELD SIGN,MISSING,SEVERE CROSS WIND,DARKNESS,DIVIDED,WET,SHOULDER DEFECT,STRAIGHT ON GRADE
466,35,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED,DRY,POTHOLES,STRAIGHT AND LEVEL
467,35,STOP SIGN,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DUSK,DIVIDED,SNOW OR SLUSH,POTHOLES,STRAIGHT AND LEVEL
468,40,YIELD SIGN,FUNCTIONING PROPERLY,FOG/SMOKE,DAWN,ALLEY,WET,WORN SURFACE,STRAIGHT AND LEVEL
469,35,YIELD SIGN,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DARKNESS,ONE-WAY,SAND/MUD/DIRT,SHOULDER DEFECT,STRAIGHT AND LEVEL
470,50,NO CONTROLS,FUNCTIONING PROPERLY,RAIN,DAWN,ALLEY,DRY,NO DEFECTS,CURVE ON GRADE
471,45,STOP SIGN,NOT FUNCTIONING,FOG/SMOKE,DARKNESS,DIVIDED,SNOW OR SLUSH,NO DEFECTS,STRAIGHT ON GRADE
472,30,STOP SIGN,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,DIVIDED,SAND/MUD/DIRT,NO DEFECTS,CURVE ON GRADE
473,20,STOP SIGN,DAMAGED,CLEAR,DAYLIGHT,ALLEY,SNOW OR SLUSH,WORN SURFACE,STRAIGHT ON GRADE
474,50,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",ONE-WAY,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
475,20,STOP SIGN,NOT FUNCTIONING,SEVERE CROSS WIND,DAYLIGHT,ONE-WAY,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT ON GRADE
476,20,RAILROAD CROSSING GATE,DAMAGED,SLEET/HAIL,DUSK,PARKING LOT,ICE,POTHOLES,STRAIGHT AND LEVEL
477,35,TRAFFIC SIGNAL,DAMAGED,SEVERE CROSS WIND,DUSK,NOT DIVIDED,SNOW OR SLUSH,NO DEFECTS,CURVE ON GRADE
478,35,TRAFFIC SIGNAL,NOT FUNCTIONING,SLEET/HAIL,DARKNESS,DIVIDED,ICE,NO DEFECTS,STRAIGHT ON GRADE
479,20,TRAFFIC SIGNAL,DAMAGED,SNOW,DAWN,ONE-WAY,SNOW OR SLUSH,NO DEFECTS,CURVE LEVEL
480,45,TRAFFIC SIGNAL,NOT FUNCTIONING,SNOW,DUSK,DIVIDED,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
481,25,YIELD SIGN,MISSING,SLEET/HAIL,DARKNESS,NOT DIVIDED,SNOW OR SLUSH,NO DEFECTS,STRAIGHT AND LEVEL
482,25,RAILROAD CROSSING GATE,MISSING,RAIN,DAWN,DIVIDED,WET,DEBRIS ON ROADWAY,CURVE LEVEL
483,30,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ONE-WAY,WET,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
484,40,STOP SIGN,FUNCTIONING PROPERLY,FOG/SMOKE,DARKNESS,PARKING LOT,SNOW OR SLUSH,WORN SURFACE,CURVE LEVEL
485,55,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DAWN,ALLEY,SAND/MUD/DIRT,POTHOLES,CURVE LEVEL
486,50,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ALLEY,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT ON GRADE
487,30,YIELD SIGN,NOT FUNCTIONING,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,NO DEFECTS,STRAIGHT ON GRADE
488,55,NO CONTROLS,MISSING,SEVERE CROSS WIND,DUSK,ONE-WAY,SAND/MUD/DIRT,NO DEFECTS,CURVE LEVEL
489,20,TRAFFIC SIGNAL,NOT FUNCTIONING,FOG/SMOKE,DAWN,NOT DIVIDED,ICE,DEBRIS ON ROADWAY,CURVE LEVEL
490,50,RAILROAD CROSSING GATE,DAMAGED,SNOW,"DARKNESS, LIGHTED ROAD",DIVIDED,SNOW OR SLUSH,SHOULDER DEFECT,CURVE LEVEL
491,20,NO CONTROLS,DAMAGED,RAIN,DUSK,NOT DIVIDED,WET,POTHOLES,STRAIGHT AND LEVEL
492,20,TRAFFIC SIGNAL,DAMAGED,RAIN,DARKNESS,ALLEY,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT ON GRADE
493,40,TRAFFIC SIGNAL,DAMAGED,CLEAR,DARKNESS,DIVIDED,WET,SHOULDER DEFECT,STRAIGHT AND LEVEL
494,35,STOP SIGN,DAMAGED,SEVERE CROSS WIND,DAWN,NOT DIVIDED,DRY,SHOULDER DEFECT,STRAIGHT ON GRADE
495,40,STOP SIGN,MISSING,CLEAR,DAWN,ALLEY,SNOW OR SLUSH,SHOULDER DEFECT,CURVE ON GRADE
496,30,RAILROAD CROSSING GATE,NOT FUNCTIONING,SLEET/HAIL,DAWN,DIVIDED,SAND/MUD/DIRT,POTHOLES,STRAIGHT AND LEVEL
497,35,STOP SIGN,DAMAGED,RAIN,DAWN,PARKING LOT,WET,SHOULDER DEFECT,STRAIGHT ON GRADE
498,35,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PARKING LOT,SAND/MUD/DIRT,NO DEFECTS,CURVE LEVEL
499,30,YIELD SIGN,MISSING,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,CURVE LEVEL
500,35,YIELD SIGN,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DUSK,ONE-WAY,WET,WORN SURFACE,STRAIGHT ON GRADE
501,50,STOP SIGN,MISSING,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",DIVIDED,WET,DEBRIS ON ROADWAY,CURVE LEVEL
502,25,YIELD SIGN,MISSING,CLEAR,DARKNESS,NOT DIVIDED,SNOW OR SLUSH,SHOULDER DEFECT,CURVE LEVEL
503,30,NO CONTROLS,FUNCTIONING PROPERLY,SLEET/HAIL,DUSK,ONE-WAY,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE ON GRADE
504,55,NO CONTROLS,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ONE-WAY,WET,DEBRIS ON ROADWAY,CURVE ON GRADE
505,30,NO CONTROLS,DAMAGED,FOG/SMOKE,DAWN,DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE ON GRADE
506,25,YIELD SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED,WET,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
507,40,NO CONTROLS,NOT FUNCTIONING,RAIN,DAYLIGHT,ONE-WAY,ICE,DEBRIS ON ROADWAY,CURVE ON GRADE
508,40,RAILROAD CROSSING GATE,MISSING,FOG/SMOKE,DUSK,ALLEY,SAND/MUD/DIRT,NO DEFECTS,CURVE ON GRADE
509,40,TRAFFIC SIGNAL,MISSING,SNOW,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,ICE,POTHOLES,CURVE ON GRADE
510,35,STOP SIGN,DAMAGED,RAIN,"DARKNESS, LIGHTED ROAD",DIVIDED,ICE,SHOULDER DEFECT,STRAIGHT ON GRADE
511,25,RAILROAD CROSSING GATE,MISSING,SNOW,DARKNESS,ONE-WAY,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE LEVEL
512,50,NO CONTROLS,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DAWN,ALLEY,WET,NO DEFECTS,STRAIGHT ON GRADE
513,30,TRAFFIC SIGNAL,MISSING,CLEAR,DAWN,PARKING LOT,WET,NO DEFECTS,CURVE ON GRADE
514,30,STOP SIGN,MISSING,SLEET/HAIL,DARKNESS,ONE-WAY,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
515,30,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ALLEY,DRY,POTHOLES,STRAIGHT ON GRADE
516,35,STOP SIGN,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PARKING LOT,WET,SHOULDER DEFECT,CURVE ON GRADE
517,35,YIELD SIGN,MISSING,SNOW,DUSK,ALLEY,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT AND LEVEL
518,45,NO CONTROLS,NOT FUNCTIONING,SNOW,DAWN,DIVIDED,DRY,NO DEFECTS,STRAIGHT AND LEVEL
519,50,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,FOG/SMOKE,DARKNESS,ONE-WAY,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT AND LEVEL
520,40,RAILROAD CROSSING GATE,NOT FUNCTIONING,CLEAR,DARKNESS,PARKING LOT,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE LEVEL
521,55,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,DUSK,ALLEY,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT AND LEVEL
522,45,TRAFFIC SIGNAL,DAMAGED,RAIN,DARKNESS,PARKING LOT,DRY,SHOULDER DEFECT,CURVE ON GRADE
523,45,TRAFFIC SIGNAL,NOT FUNCTIONING,SNOW,DAYLIGHT,NOT DIVIDED,ICE,NO DEFECTS,STRAIGHT ON GRADE
524,35,STOP SIGN,DAMAGED,RAIN,DUSK,ONE-WAY,SAND/MUD/DIRT,SHOULDER DEFECT,STRAIGHT ON GRADE
525,40,NO CONTROLS,NOT FUNCTIONING,RAIN,DAYLIGHT,DIVIDED,SNOW OR SLUSH,WORN SURFACE,CURVE ON GRADE
526,40,STOP SIGN,DAMAGED,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",PARKING LOT,WET,POTHOLES,CURVE LEVEL
527,30,NO CONTROLS,FUNCTIONING PROPERLY,SNOW,DAWN,ALLEY,WET,NO DEFECTS,CURVE LEVEL
528,35,RAILROAD CROSSING GATE,MISSING,RAIN,DARKNESS,PARKING LOT,WET,WORN SURFACE,STRAIGHT AND LEVEL
529,40,STOP SIGN,MISSING,SNOW,DUSK,ALLEY,DRY,SHOULDER DEFECT,CURVE ON GRADE
530,55,STOP SIGN,DAMAGED,RAIN,DAYLIGHT,PARKING LOT,SNOW OR SLUSH,WORN SURFACE,STRAIGHT AND LEVEL
531,45,STOP SIGN,FUNCTIONING PROPERLY,SLEET/HAIL,DAWN,DIVIDED,SNOW OR SLUSH,NO DEFECTS,STRAIGHT AND LEVEL
532,25,YIELD SIGN,DAMAGED,RAIN,DAWN,DIVIDED,SNOW OR SLUSH,WORN SURFACE,CURVE ON GRADE
533,25,NO CONTROLS,DAMAGED,RAIN,DARKNESS,ONE-WAY,SNOW OR SLUSH,SHOULDER DEFECT,CURVE LEVEL
534,35,NO CONTROLS,FUNCTIONING PROPERLY,SLEET/HAIL,DAWN,DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
535,30,STOP SIGN,NOT FUNCTIONING,CLEAR,DARKNESS,PARKING LOT,ICE,POTHOLES,STRAIGHT ON GRADE
536,30,YIELD SIGN,NOT FUNCTIONING,SNOW,"DARKNESS, LIGHTED ROAD",PARKING LOT,SNOW OR SLUSH,POTHOLES,CURVE ON GRADE
537,40,STOP SIGN,FUNCTIONING PROPERLY,FOG/SMOKE,DARKNESS,DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
538,55,NO CONTROLS,DAMAGED,SLEET/HAIL,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,CURVE ON GRADE
539,50,RAILROAD CROSSING GATE,MISSING,CLEAR,DAWN,PARKING LOT,DRY,WORN SURFACE,STRAIGHT AND LEVEL
540,35,YIELD SIGN,DAMAGED,RAIN,DAWN,ONE-WAY,SNOW OR SLUSH,WORN SURFACE,STRAIGHT ON GRADE
541,50,YIELD SIGN,NOT FUNCTIONING,SEVERE CROSS WIND,DAWN,NOT DIVIDED,ICE,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
542,25,STOP SIGN,FUNCTIONING PROPERLY,CLEAR,DARKNESS,DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
543,45,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,SLEET/HAIL,DUSK,ALLEY,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT ON GRADE
544,40,NO CONTROLS,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DARKNESS,PARKING LOT,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT AND LEVEL
545,45,TRAFFIC SIGNAL,NOT FUNCTIONING,RAIN,DAYLIGHT,ALLEY,SAND/MUD/DIRT,POTHOLES,CURVE LEVEL
546,50,NO CONTROLS,DAMAGED,CLEAR,DARKNESS,ONE-WAY,ICE,NO DEFECTS,STRAIGHT AND LEVEL
547,40,NO CONTROLS,FUNCTIONING PROPERLY,FOG/SMOKE,DAWN,NOT DIVIDED,WET,NO DEFECTS,STRAIGHT ON GRADE
548,20,RAILROAD CROSSING GATE,MISSING,SNOW,"DARKNESS, LIGHTED ROAD",ALLEY,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
549,45,YIELD SIGN,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,ONE-WAY,WET,POTHOLES,CURVE ON GRADE
550,35,NO CONTROLS,DAMAGED,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",ALLEY,ICE,POTHOLES,STRAIGHT AND LEVEL
551,45,YIELD SIGN,NOT FUNCTIONING,RAIN,DAYLIGHT,ALLEY,SNOW OR SLUSH,SHOULDER DEFECT,CURVE ON GRADE
552,45,RAILROAD CROSSING GATE,MISSING,RAIN,DAYLIGHT,ONE-WAY,WET,WORN SURFACE,STRAIGHT ON GRADE
553,40,RAILROAD CROSSING GATE,MISSING,SNOW,DAWN,PARKING LOT,WET,NO DEFECTS,CURVE ON GRADE
554,25,STOP SIGN,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ALLEY,ICE,POTHOLES,CURVE LEVEL
555,50,TRAFFIC SIGNAL,DAMAGED,RAIN,DAWN,ONE-WAY,SNOW OR SLUSH,SHOULDER DEFECT,CURVE LEVEL
556,20,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,FOG/SMOKE,DAWN,ALLEY,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE LEVEL
557,45,RAILROAD CROSSING GATE,MISSING,FOG/SMOKE,DAWN,PARKING LOT,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
558,55,YIELD SIGN,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ONE-WAY,SAND/MUD/DIRT,WORN SURFACE,CURVE ON GRADE
559,50,RAILROAD CROSSING GATE,DAMAGED,RAIN,DAYLIGHT,ALLEY,SNOW OR SLUSH,POTHOLES,CURVE ON GRADE
560,55,NO CONTROLS,NOT FUNCTIONING,SNOW,DUSK,DIVIDED,WET,DEBRIS ON ROADWAY,CURVE ON GRADE
561,50,STOP SIGN,MISSING,SLEET/HAIL,DARKNESS,PARKING LOT,ICE,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
562,55,STOP SIGN,DAMAGED,SNOW,DAWN,ALLEY,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
563,25,NO CONTROLS,FUNCTIONING PROPERLY,SLEET/HAIL,DAYLIGHT,NOT DIVIDED,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
564,30,RAILROAD CROSSING GATE,MISSING,FOG/SMOKE,DARKNESS,ONE-WAY,DRY,WORN SURFACE,CURVE ON GRADE
565,20,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SLEET/HAIL,DUSK,ALLEY,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT AND LEVEL
566,20,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,SNOW,DUSK,PARKING LOT,DRY,POTHOLES,CURVE ON GRADE
567,55,STOP SIGN,NOT FUNCTIONING,RAIN,DAWN,PARKING LOT,ICE,SHOULDER DEFECT,CURVE ON GRADE
568,55,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SLEET/HAIL,DUSK,NOT DIVIDED,ICE,SHOULDER DEFECT,CURVE ON GRADE
569,55,YIELD SIGN,FUNCTIONING PROPERLY,SNOW,DUSK,NOT DIVIDED,SAND/MUD/DIRT,POTHOLES,CURVE LEVEL
570,50,YIELD SIGN,DAMAGED,FOG/SMOKE,DARKNESS,ALLEY,DRY,NO DEFECTS,STRAIGHT ON GRADE
571,40,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DARKNESS,DIVIDED,WET,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
572,45,RAILROAD CROSSING GATE,NOT FUNCTIONING,SLEET/HAIL,DAWN,PARKING LOT,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT ON GRADE
573,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,FOG/SMOKE,DAYLIGHT,DIVIDED,WET,POTHOLES,CURVE LEVEL
574,55,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,FOG/SMOKE,DAWN,DIVIDED,WET,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
575,40,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ALLEY,SNOW OR SLUSH,WORN SURFACE,CURVE ON GRADE
576,35,STOP SIGN,MISSING,SEVERE CROSS WIND,DUSK,ONE-WAY,ICE,NO DEFECTS,STRAIGHT ON GRADE
577,25,YIELD SIGN,NOT FUNCTIONING,SLEET/HAIL,DAYLIGHT,ONE-WAY,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE LEVEL
578,25,TRAFFIC SIGNAL,MISSING,SNOW,DARKNESS,ONE-WAY,ICE,NO DEFECTS,STRAIGHT AND LEVEL
579,40,STOP SIGN,NOT FUNCTIONING,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
580,50,RAILROAD CROSSING GATE,NOT FUNCTIONING,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",PARKING LOT,DRY,SHOULDER DEFECT,STRAIGHT ON GRADE
581,25,NO CONTROLS,DAMAGED,SEVERE CROSS WIND,DUSK,NOT DIVIDED,WET,SHOULDER DEFECT,STRAIGHT ON GRADE
582,45,TRAFFIC SIGNAL,MISSING,FOG/SMOKE,DARKNESS,PARKING LOT,WET,NO DEFECTS,STRAIGHT AND LEVEL
583,25,NO CONTROLS,NOT FUNCTIONING,FOG/SMOKE,DAYLIGHT,PARKING LOT,WET,WORN SURFACE,STRAIGHT AND LEVEL
584,45,STOP SIGN,NOT FUNCTIONING,FOG/SMOKE,DARKNESS,PARKING LOT,SAND/MUD/DIRT,POTHOLES,CURVE LEVEL
585,35,YIELD SIGN,DAMAGED,FOG/SMOKE,DUSK,ALLEY,SAND/MUD/DIRT,POTHOLES,CURVE ON GRADE
586,55,STOP SIGN,MISSING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",ONE-WAY,SAND/MUD/DIRT,WORN SURFACE,CURVE ON GRADE
587,30,YIELD SIGN,FUNCTIONING PROPERLY,SNOW,DUSK,NOT DIVIDED,SNOW OR SLUSH,WORN SURFACE,CURVE LEVEL
588,20,STOP SIGN,DAMAGED,RAIN,DAWN,NOT DIVIDED,SAND/MUD/DIRT,SHOULDER DEFECT,STRAIGHT AND LEVEL
589,40,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,"DARKNESS, LIGHTED ROAD",ALLEY,DRY,SHOULDER DEFECT,STRAIGHT ON GRADE
590,40,TRAFFIC SIGNAL,MISSING,FOG/SMOKE,DUSK,PARKING LOT,DRY,POTHOLES,STRAIGHT ON GRADE
591,45,NO CONTROLS,NOT FUNCTIONING,FOG/SMOKE,DAYLIGHT,ONE-WAY,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
592,35,STOP SIGN,DAMAGED,CLEAR,DAYLIGHT,DIVIDED,ICE,SHOULDER DEFECT,CURVE LEVEL
593,35,STOP SIGN,DAMAGED,FOG/SMOKE,DAYLIGHT,DIVIDED,ICE,WORN SURFACE,STRAIGHT AND LEVEL
594,50,NO CONTROLS,MISSING,RAIN,DAWN,ALLEY,ICE,NO DEFECTS,STRAIGHT ON GRADE
595,20,RAILROAD CROSSING GATE,DAMAGED,SLEET/HAIL,DARKNESS,ONE-WAY,DRY,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
596,55,STOP SIGN,DAMAGED,CLEAR,DAYLIGHT,DIVIDED,ICE,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
597,30,STOP SIGN,FUNCTIONING PROPERLY,SNOW,DAWN,DIVIDED,DRY,SHOULDER DEFECT,CURVE LEVEL
598,40,STOP SIGN,NOT FUNCTIONING,CLEAR,DAYLIGHT,NOT DIVIDED,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE ON GRADE
599,45,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,RAIN,DAWN,ONE-WAY,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
600,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SEVERE CROSS WIND,DAYLIGHT,DIVIDED,SNOW OR SLUSH,WORN SURFACE,STRAIGHT ON GRADE
601,55,NO CONTROLS,MISSING,SNOW,DARKNESS,NOT DIVIDED,ICE,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
602,40,RAILROAD CROSSING GATE,DAMAGED,SLEET/HAIL,DUSK,ONE-WAY,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
603,45,YIELD SIGN,NOT FUNCTIONING,FOG/SMOKE,DAYLIGHT,PARKING LOT,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
604,25,YIELD SIGN,NOT FUNCTIONING,CLEAR,DUSK,ONE-WAY,WET,SHOULDER DEFECT,CURVE ON GRADE
605,55,RAILROAD CROSSING GATE,NOT FUNCTIONING,SNOW,DAYLIGHT,ALLEY,WET,SHOULDER DEFECT,STRAIGHT ON GRADE
606,40,RAILROAD CROSSING GATE,DAMAGED,CLEAR,DARKNESS,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
607,30,TRAFFIC SIGNAL,NOT FUNCTIONING,SLEET/HAIL,DUSK,PARKING LOT,SNOW OR SLUSH,SHOULDER DEFECT,CURVE LEVEL
608,55,YIELD SIGN,NOT FUNCTIONING,CLEAR,DAWN,NOT DIVIDED,WET,DEBRIS ON ROADWAY,CURVE LEVEL
609,45,NO CONTROLS,DAMAGED,SNOW,DAYLIGHT,NOT DIVIDED,SNOW OR SLUSH,WORN SURFACE,CURVE LEVEL
610,30,STOP SIGN,MISSING,RAIN,DAYLIGHT,DIVIDED,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE LEVEL
611,40,STOP SIGN,NOT FUNCTIONING,SEVERE CROSS WIND,DAWN,ONE-WAY,DRY,NO DEFECTS,CURVE LEVEL
612,25,TRAFFIC SIGNAL,DAMAGED,SNOW,DARKNESS,NOT DIVIDED,SNOW OR SLUSH,SHOULDER DEFECT,CURVE ON GRADE
613,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,WORN SURFACE,STRAIGHT ON GRADE
614,35,YIELD SIGN,DAMAGED,SLEET/HAIL,DAYLIGHT,ALLEY,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT AND LEVEL
615,45,NO CONTROLS,FUNCTIONING PROPERLY,FOG/SMOKE,DAWN,ALLEY,ICE,SHOULDER DEFECT,CURVE ON GRADE
616,40,NO CONTROLS,DAMAGED,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",ALLEY,SAND/MUD/DIRT,POTHOLES,STRAIGHT AND LEVEL
617,25,RAILROAD CROSSING GATE,NOT FUNCTIONING,SLEET/HAIL,DAYLIGHT,NOT DIVIDED,WET,DEBRIS ON ROADWAY,CURVE LEVEL
618,35,TRAFFIC SIGNAL,MISSING,CLEAR,DUSK,PARKING LOT,WET,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
619,40,STOP SIGN,MISSING,SEVERE CROSS WIND,DAWN,ONE-WAY,ICE,WORN SURFACE,CURVE LEVEL
620,55,STOP SIGN,NOT FUNCTIONING,SLEET/HAIL,DUSK,NOT DIVIDED,SAND/MUD/DIRT,SHOULDER DEFECT,CURVE ON GRADE
621,50,YIELD SIGN,FUNCTIONING PROPERLY,CLEAR,DARKNESS,DIVIDED,SNOW OR SLUSH,POTHOLES,STRAIGHT AND LEVEL
622,25,STOP SIGN,DAMAGED,SNOW,"DARKNESS, LIGHTED ROAD",PARKING LOT,SNOW OR SLUSH,NO DEFECTS,STRAIGHT ON GRADE
623,35,NO CONTROLS,NOT FUNCTIONING,SEVERE CROSS WIND,DAWN,PARKING LOT,SAND/MUD/DIRT,DEBRIS ON ROADWAY,CURVE ON GRADE
624,30,NO CONTROLS,DAMAGED,RAIN,DAYLIGHT,ONE-WAY,SNOW OR SLUSH,POTHOLES,CURVE ON GRADE
625,40,TRAFFIC SIGNAL,NOT FUNCTIONING,CLEAR,DAYLIGHT,PARKING LOT,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
626,40,YIELD SIGN,NOT FUNCTIONING,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",ONE-WAY,SAND/MUD/DIRT,SHOULDER DEFECT,STRAIGHT ON GRADE
627,30,STOP SIGN,DAMAGED,FOG/SMOKE,DUSK,PARKING LOT,WET,DEBRIS ON ROADWAY,CURVE ON GRADE
628,50,TRAFFIC SIGNAL,MISSING,SEVERE CROSS WIND,DUSK,ONE-WAY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
629,20,RAILROAD CROSSING GATE,MISSING,RAIN,DAWN,ALLEY,WET,SHOULDER DEFECT,STRAIGHT AND LEVEL
630,35,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,DAWN,ALLEY,SNOW OR SLUSH,WORN SURFACE,CURVE ON GRADE
631,30,STOP SIGN,DAMAGED,RAIN,DUSK,PARKING LOT,DRY,POTHOLES,CURVE ON GRADE
632,55,STOP SIGN,FUNCTIONING PROPERLY,SNOW,DAWN,PARKING LOT,SAND/MUD/DIRT,DEBRIS ON ROADWAY,CURVE LEVEL
633,40,STOP SIGN,NOT FUNCTIONING,RAIN,DUSK,ONE-WAY,SNOW OR SLUSH,SHOULDER DEFECT,CURVE LEVEL
634,55,NO CONTROLS,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",ONE-WAY,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
